airportid	name	city	country	iata	icao	lat	long	altitude	time	dst	tzdatabase	type	source
1	Goroka Airport	Goroka	Papua New Guinea	GKA	AYGA	-6.081689835	145.3919983	5282	10	U	Pacific/Port_Moresby	airport	OurAirports
2	Madang Airport	Madang	Papua New Guinea	MAG	AYMD	-5.207079887	145.7890015	20	10	U	Pacific/Port_Moresby	airport	OurAirports
3	Mount Hagen Kagamuga Airport	Mount Hagen	Papua New Guinea	HGU	AYMH	-5.826789856	144.2960052	5388	10	U	Pacific/Port_Moresby	airport	OurAirports
4	Nadzab Airport	Nadzab	Papua New Guinea	LAE	AYNZ	-6.569803	146.725977	239	10	U	Pacific/Port_Moresby	airport	OurAirports
5	Port Moresby Jacksons International Airport	Port Moresby	Papua New Guinea	POM	AYPY	-9.443380356	147.2200012	146	10	U	Pacific/Port_Moresby	airport	OurAirports
6	Wewak International Airport	Wewak	Papua New Guinea	WWK	AYWK	-3.583830118	143.6690063	19	10	U	Pacific/Port_Moresby	airport	OurAirports
7	Narsarsuaq Airport	Narssarssuaq	Greenland	UAK	BGBW	61.16049957	-45.42599869	112	-3	E	America/Godthab	airport	OurAirports
8	Godthaab / Nuuk Airport	Godthaab	Greenland	GOH	BGGH	64.19090271	-51.67810059	283	-3	E	America/Godthab	airport	OurAirports
9	Kangerlussuaq Airport	Sondrestrom	Greenland	SFJ	BGSF	67.0122219	-50.71160316	165	-3	E	America/Godthab	airport	OurAirports
10	Thule Air Base	Thule	Greenland	THU	BGTL	76.53119659	-68.70320129	251	-4	E	America/Thule	airport	OurAirports
11	Akureyri Airport	Akureyri	Iceland	AEY	BIAR	65.66000366	-18.0727005	6	0	N	Atlantic/Reykjavik	airport	OurAirports
12	Egilsstaðir Airport	Egilsstadir	Iceland	EGS	BIEG	65.28330231	-14.40139961	76	0	N	Atlantic/Reykjavik	airport	OurAirports
13	Hornafjörður Airport	Hofn	Iceland	HFN	BIHN	64.295601	-15.2272	24	0	N	Atlantic/Reykjavik	airport	OurAirports
14	Húsavík Airport	Husavik	Iceland	HZK	BIHU	65.952301	-17.426001	48	0	N	Atlantic/Reykjavik	airport	OurAirports
15	Ísafjörður Airport	Isafjordur	Iceland	IFJ	BIIS	66.05809784	-23.13529968	8	0	N	Atlantic/Reykjavik	airport	OurAirports
16	Keflavik International Airport	Keflavik	Iceland	KEF	BIKF	63.98500061	-22.60560036	171	0	N	Atlantic/Reykjavik	airport	OurAirports
17	Patreksfjörður Airport	Patreksfjordur	Iceland	PFJ	BIPA	65.555801	-23.965	11	0	N	Atlantic/Reykjavik	airport	OurAirports
18	Reykjavik Airport	Reykjavik	Iceland	RKV	BIRK	64.12999725	-21.94059944	48	0	N	Atlantic/Reykjavik	airport	OurAirports
19	Siglufjörður Airport	Siglufjordur	Iceland	SIJ	BISI	66.133301	-18.9167	10	0	N	Atlantic/Reykjavik	airport	OurAirports
20	Vestmannaeyjar Airport	Vestmannaeyjar	Iceland	VEY	BIVM	63.42430115	-20.27890015	326	0	N	Atlantic/Reykjavik	airport	OurAirports
21	Sault Ste Marie Airport	Sault Sainte Marie	Canada	YAM	CYAM	46.48500061	-84.50939941	630	-5	A	America/Toronto	airport	OurAirports
22	Winnipeg / St. Andrews Airport	Winnipeg	Canada	\N	CYAV	50.0564003	-97.03250122	760	-6	A	America/Winnipeg	airport	OurAirports
23	Halifax / CFB Shearwater Heliport	Halifax	Canada	\N	CYAW	44.639702	-63.499401	144	-4	A	America/Halifax	airport	OurAirports
24	St. Anthony Airport	St. Anthony	Canada	YAY	CYAY	51.39189911	-56.08309937	108	-3.5	A	America/St_Johns	airport	OurAirports
25	Tofino / Long Beach Airport	Tofino	Canada	YAZ	CYAZ	49.079833	-125.775583	80	-8	A	America/Vancouver	airport	OurAirports
26	Kugaaruk Airport	Pelly Bay	Canada	YBB	CYBB	68.534401	-89.808098	56	-7	A	America/Edmonton	airport	OurAirports
27	Baie Comeau Airport	Baie Comeau	Canada	YBC	CYBC	49.13249969	-68.20439911	71	-5	A	America/Toronto	airport	OurAirports
28	CFB Bagotville	Bagotville	Canada	YBG	CYBG	48.33060074	-70.99639893	522	-5	A	America/Toronto	airport	OurAirports
29	Baker Lake Airport	Baker Lake	Canada	YBK	CYBK	64.29889679	-96.07779694	59	-6	A	America/Winnipeg	airport	OurAirports
30	Campbell River Airport	Campbell River	Canada	YBL	CYBL	49.95080185	-125.2710037	346	-8	A	America/Vancouver	airport	OurAirports
31	Brandon Municipal Airport	Brandon	Canada	YBR	CYBR	49.91	-99.951897	1343	-6	A	America/Winnipeg	airport	OurAirports
32	Cambridge Bay Airport	Cambridge Bay	Canada	YCB	CYCB	69.10810089	-105.1380005	90	-7	A	America/Edmonton	airport	OurAirports
33	Nanaimo Airport	Nanaimo	Canada	YCD	CYCD	49.05497022	-123.8698626	92	-8	A	America/Vancouver	airport	OurAirports
34	Castlegar/West Kootenay Regional Airport	Castlegar	Canada	YCG	CYCG	49.29639816	-117.6320038	1624	-8	A	America/Vancouver	airport	OurAirports
35	Miramichi Airport	Chatham	Canada	YCH	CYCH	47.007801	-65.449203	108	-4	A	America/Halifax	airport	OurAirports
36	Charlo Airport	Charlo	Canada	YCL	CYCL	47.990799	-66.330299	132	-4	A	America/Halifax	airport	OurAirports
37	Kugluktuk Airport	Coppermine	Canada	YCO	CYCO	67.816704	-115.143997	74	-7	A	America/Edmonton	airport	OurAirports
38	Coronation Airport	Coronation	Canada	YCT	CYCT	52.07500076	-111.4449997	2595	-7	A	America/Edmonton	airport	OurAirports
39	Chilliwack Airport	Chilliwack	Canada	YCW	CYCW	49.15280151	-121.939003	32	-8	A	America/Vancouver	airport	OurAirports
40	Clyde River Airport	Clyde River	Canada	YCY	CYCY	70.48609924	-68.51670074	87	-5	A	America/Toronto	airport	OurAirports
41	Coral Harbour Airport	Coral Harbour	Canada	YZS	CYZS	64.19329834	-83.35939789	210	-5	A	America/Coral_Harbour	airport	OurAirports
42	Dawson City Airport	Dawson	Canada	YDA	CYDA	64.04309845	-139.128006	1215	-8	A	America/Vancouver	airport	OurAirports
43	Burwash Airport	Burwash	Canada	YDB	CYDB	61.37110138	-139.0410004	2647	-8	A	America/Vancouver	airport	OurAirports
44	Princeton Airport	Princeton	Canada	\N	CYDC	49.4681015	-120.5110016	2298	-8	A	America/Vancouver	airport	OurAirports
45	Deer Lake Airport	Deer Lake	Canada	YDF	CYDF	49.21080017	-57.39139938	72	-3.5	A	America/St_Johns	airport	OurAirports
46	Dease Lake Airport	Dease Lake	Canada	YDL	CYDL	58.42219925	-130.0319977	2600	-8	A	America/Vancouver	airport	OurAirports
47	Dauphin Barker Airport	Dauphin	Canada	YDN	CYDN	51.10079956	-100.052002	999	-6	A	America/Winnipeg	airport	OurAirports
48	Dawson Creek Airport	Dawson Creek	Canada	YDQ	CYDQ	55.74229813	-120.1829987	2148	-7	A	America/Dawson_Creek	airport	OurAirports
49	Edmonton International Airport	Edmonton	Canada	YEG	CYEG	53.30970001	-113.5800018	2373	-7	A	America/Edmonton	airport	OurAirports
50	Arviat Airport	Eskimo Point	Canada	YEK	CYEK	61.09420013	-94.07080078	32	-6	A	America/Winnipeg	airport	OurAirports
51	Estevan Airport	Estevan	Canada	YEN	CYEN	49.21030045	-102.9660034	1905	-6	N	America/Regina	airport	OurAirports
52	Edson Airport	Edson	Canada	YET	CYET	53.57889938	-116.4649963	3043	-7	A	America/Edmonton	airport	OurAirports
53	Eureka Airport	Eureka	Canada	YEU	CYEU	79.99469757	-85.81420136	256	-6	A	America/Winnipeg	airport	OurAirports
54	Inuvik Mike Zubko Airport	Inuvik	Canada	YEV	CYEV	68.30419922	-133.4830017	224	-7	A	America/Edmonton	airport	OurAirports
55	Iqaluit Airport	Iqaluit	Canada	YFB	CYFB	63.756402	-68.555801	110	-5	A	America/Toronto	airport	OurAirports
56	Fredericton Airport	Fredericton	Canada	YFC	CYFC	45.8689003	-66.53720093	68	-4	A	America/Halifax	airport	OurAirports
57	Forestville Airport	Forestville	Canada	YFE	CYFE	48.74610138	-69.09719849	293	-5	A	America/Toronto	airport	OurAirports
58	Flin Flon Airport	Flin Flon	Canada	YFO	CYFO	54.67810059	-101.6819992	997	-6	A	America/Winnipeg	airport	OurAirports
59	Fort Resolution Airport	Fort Resolution	Canada	YFR	CYFR	61.18080139	-113.6900024	526	-7	A	America/Edmonton	airport	OurAirports
60	Fort Simpson Airport	Fort Simpson	Canada	YFS	CYFS	61.7602005	-121.2369995	555	-7	A	America/Edmonton	airport	OurAirports
61	Kingston Norman Rogers Airport	Kingston	Canada	YGK	CYGK	44.22529984	-76.59690094	305	-5	A	America/Toronto	airport	OurAirports
62	La Grande Rivière Airport	La Grande Riviere	Canada	YGL	CYGL	53.62530136	-77.70420074	639	-5	A	America/Toronto	airport	OurAirports
63	Gaspé (Michel-Pouliot) Airport	Gaspe	Canada	YGP	CYGP	48.77529907	-64.47859955	112	-5	A	America/Toronto	airport	OurAirports
64	Geraldton Greenstone Regional Airport	Geraldton	Canada	YGQ	CYGQ	49.77830124	-86.93939972	1144	-5	A	America/Toronto	airport	OurAirports
65	Îles-de-la-Madeleine Airport	Iles De La Madeleine	Canada	YGR	CYGR	47.42470169	-61.77809906	35	-5	A	America/Toronto	airport	OurAirports
66	Hudson Bay Airport	Hudson Bay	Canada	YHB	CYHB	52.81669998	-102.310997	1175	-6	N	America/Regina	airport	OurAirports
67	Dryden Regional Airport	Dryden	Canada	YHD	CYHD	49.831699	-92.744202	1354	-6	A	America/Winnipeg	airport	OurAirports
68	Ulukhaktok Holman Airport	Holman Island	Canada	YHI	CYHI	70.76280212	-117.8059998	117	-7	A	America/Edmonton	airport	OurAirports
69	Gjoa Haven Airport	Gjoa Haven	Canada	YHK	CYHK	68.63559723	-95.84970093	152	-7	A	America/Edmonton	airport	OurAirports
70	John C. Munro Hamilton International Airport	Hamilton	Canada	YHM	CYHM	43.17359924	-79.93499756	780	-5	A	America/Toronto	airport	OurAirports
71	Montréal / Saint-Hubert Airport	Montreal	Canada	YHU	CYHU	45.51750183	-73.41690063	90	-5	A	America/Toronto	airport	OurAirports
72	Hay River / Merlyn Carter Airport	Hay River	Canada	YHY	CYHY	60.83969879	-115.7829971	541	-7	A	America/Edmonton	airport	OurAirports
73	Halifax / Stanfield International Airport	Halifax	Canada	YHZ	CYHZ	44.88079834	-63.50859833	477	-4	A	America/Halifax	airport	OurAirports
74	Atikokan Municipal Airport	Atikokan	Canada	YIB	CYIB	48.77389908	-91.63860321	1408	-5	A	America/Coral_Harbour	airport	OurAirports
75	Pond Inlet Airport	Pond Inlet	Canada	YIO	CYIO	72.6832962	-77.96669769	181	-5	A	America/Toronto	airport	OurAirports
76	St Jean Airport	St. Jean	Canada	YJN	CYJN	45.29439926	-73.28109741	136	-5	A	America/Toronto	airport	OurAirports
77	Stephenville Airport	Stephenville	Canada	YJT	CYJT	48.5442009	-58.54999924	84	-3.5	A	America/St_Johns	airport	OurAirports
78	Kamloops Airport	Kamloops	Canada	YKA	CYKA	50.70220184	-120.4440002	1133	-8	A	America/Vancouver	airport	OurAirports
79	Waterloo Airport	Waterloo	Canada	YKF	CYKF	43.46080017	-80.37860107	1055	-5	A	America/Toronto	airport	OurAirports
80	Schefferville Airport	Schefferville	Canada	YKL	CYKL	54.80530167	-66.80529785	1709	-5	A	America/Toronto	airport	OurAirports
81	Kindersley Airport	Kindersley	Canada	YKY	CYKY	51.51750183	-109.1809998	2277	-6	N	America/Regina	airport	OurAirports
82	Buttonville Municipal Airport	Toronto	Canada	YKZ	CYKZ	43.86220169	-79.37000275	650	-5	A	America/Toronto	airport	OurAirports
83	Chapleau Airport	Chapleau	Canada	YLD	CYLD	47.81999969	-83.34670258	1470	-5	A	America/Toronto	airport	OurAirports
84	Meadow Lake Airport	Meadow Lake	Canada	YLJ	CYLJ	54.12530136	-108.5230026	1576	-6	N	America/Regina	airport	OurAirports
85	Lloydminster Airport	Lloydminster	Canada	YLL	CYLL	53.30920029	-110.072998	2193	-7	A	America/Edmonton	airport	OurAirports
86	Alert Airport	Alert	Canada	YLT	CYLT	82.51779938	-62.2806015	100	-5	A	America/Toronto	airport	OurAirports
87	Kelowna International Airport	Kelowna	Canada	YLW	CYLW	49.95610046	-119.3779984	1421	-8	A	America/Vancouver	airport	OurAirports
88	Mayo Airport	Mayo	Canada	YMA	CYMA	63.61640167	-135.8679962	1653	-8	A	America/Vancouver	airport	OurAirports
89	Moose Jaw Air Vice Marshal C. M. McEwen Airport	Moose Jaw	Canada	YMJ	CYMJ	50.33029938	-105.5589981	1892	-6	N	America/Regina	airport	OurAirports
90	Fort McMurray Airport	Fort Mcmurray	Canada	YMM	CYMM	56.65330124	-111.2220001	1211	-7	A	America/Edmonton	airport	OurAirports
91	Moosonee Airport	Moosonee	Canada	YMO	CYMO	51.29109955	-80.60780334	30	-5	A	America/Toronto	airport	OurAirports
92	Maniwaki Airport	Maniwaki	Canada	YMW	CYMW	46.27280045	-75.99060059	656	-5	A	America/Toronto	airport	OurAirports
93	Montreal International (Mirabel) Airport	Montreal	Canada	YMX	CYMX	45.679501	-74.038696	270	-5	A	America/Toronto	airport	OurAirports
94	Natashquan Airport	Natashquan	Canada	YNA	CYNA	50.18999863	-61.78919983	39	-5	A	America/Toronto	airport	OurAirports
95	Ottawa / Gatineau Airport	Gatineau	Canada	YND	CYND	45.52170181	-75.56359863	211	-5	A	America/Toronto	airport	OurAirports
96	Matagami Airport	Matagami	Canada	YNM	CYNM	49.76169968	-77.80280304	918	-5	A	America/Toronto	airport	OurAirports
97	Old Crow Airport	Old Crow	Canada	YOC	CYOC	67.57060242	-139.8390045	824	-8	A	America/Vancouver	airport	OurAirports
98	CFB Cold Lake	Cold Lake	Canada	YOD	CYOD	54.40499878	-110.2789993	1775	-7	A	America/Edmonton	airport	OurAirports
99	High Level Airport	High Level	Canada	YOJ	CYOJ	58.62139893	-117.1650009	1110	-7	A	America/Edmonton	airport	OurAirports
100	Ottawa Macdonald-Cartier International Airport	Ottawa	Canada	YOW	CYOW	45.32249832	-75.66919708	374	-5	A	America/Toronto	airport	OurAirports
101	Prince Albert Glass Field	Prince Albert	Canada	YPA	CYPA	53.21419907	-105.6729965	1405	-6	N	America/Regina	airport	OurAirports
102	Peace River Airport	Peace River	Canada	YPE	CYPE	56.226898	-117.446999	1873	-7	A	America/Edmonton	airport	OurAirports
103	Southport Airport	Portage-la-prairie	Canada	YPG	CYPG	49.903099	-98.273817	885	-6	A	America/Winnipeg	airport	OurAirports
104	Pitt Meadows Airport	Pitt Meadows	Canada	\N	CYPK	49.21609879	-122.7099991	11	-8	A	America/Vancouver	airport	OurAirports
105	Pickle Lake Airport	Pickle Lake	Canada	YPL	CYPL	51.44639969	-90.21420288	1267	-5	A	America/Coral_Harbour	airport	OurAirports
106	Port Menier Airport	Port Menier	Canada	YPN	CYPN	49.83639908	-64.28859711	167	-5	A	America/Toronto	airport	OurAirports
107	Peterborough Airport	Peterborough	Canada	YPQ	CYPQ	44.22999954	-78.36329651	628	-5	A	America/Toronto	airport	OurAirports
108	Prince Rupert Airport	Prince Pupert	Canada	YPR	CYPR	54.28609848	-130.4450073	116	-8	A	America/Vancouver	airport	OurAirports
109	Fort Chipewyan Airport	Fort Chipewyan	Canada	YPY	CYPY	58.76720047	-111.1169968	761	-7	A	America/Edmonton	airport	OurAirports
110	Muskoka Airport	Muskoka	Canada	YQA	CYQA	44.97470093	-79.30329895	925	-5	A	America/Toronto	airport	OurAirports
111	Quebec Jean Lesage International Airport	Quebec	Canada	YQB	CYQB	46.7911	-71.393303	244	-5	A	America/Toronto	airport	OurAirports
112	Red Deer Regional Airport	Red Deer Industrial	Canada	YQF	CYQF	52.18220139	-113.8939972	2968	-7	A	America/Edmonton	airport	OurAirports
113	Windsor Airport	Windsor	Canada	YQG	CYQG	42.27560043	-82.95559692	622	-5	A	America/Toronto	airport	OurAirports
114	Watson Lake Airport	Watson Lake	Canada	YQH	CYQH	60.11640167	-128.8220062	2255	-8	A	America/Vancouver	airport	OurAirports
115	Kenora Airport	Kenora	Canada	YQK	CYQK	49.78829956	-94.36309814	1332	-6	A	America/Winnipeg	airport	OurAirports
116	Lethbridge County Airport	Lethbridge	Canada	YQL	CYQL	49.63029861	-112.8000031	3048	-7	A	America/Edmonton	airport	OurAirports
117	Greater Moncton International Airport	Moncton	Canada	YQM	CYQM	46.11220169	-64.6785965	232	-4	A	America/Halifax	airport	OurAirports
119	Comox Airport	Comox	Canada	YQQ	CYQQ	49.71080017	-124.887001	84	-8	A	America/Vancouver	airport	OurAirports
120	Regina International Airport	Regina	Canada	YQR	CYQR	50.43190002	-104.6660004	1894	-6	N	America/Regina	airport	OurAirports
121	Thunder Bay Airport	Thunder Bay	Canada	YQT	CYQT	48.37189865	-89.32389832	653	-5	A	America/Toronto	airport	OurAirports
122	Grande Prairie Airport	Grande Prairie	Canada	YQU	CYQU	55.17969894	-118.8850021	2195	-7	A	America/Edmonton	airport	OurAirports
123	Yorkton Municipal Airport	Yorkton	Canada	YQV	CYQV	51.26470184	-102.461998	1635	-6	N	America/Regina	airport	OurAirports
124	North Battleford Airport	North Battleford	Canada	YQW	CYQW	52.76919937	-108.2440033	1799	-6	N	America/Regina	airport	OurAirports
125	Gander International Airport	Gander	Canada	YQX	CYQX	48.93690109	-54.56809998	496	-3.5	A	America/St_Johns	airport	OurAirports
126	Sydney / J.A. Douglas McCurdy Airport	Sydney	Canada	YQY	CYQY	46.1614	-60.047798	203	-4	A	America/Halifax	airport	OurAirports
127	Quesnel Airport	Quesnel	Canada	YQZ	CYQZ	53.02610016	-122.5100021	1789	-8	A	America/Vancouver	airport	OurAirports
128	Resolute Bay Airport	Resolute	Canada	YRB	CYRB	74.71690369	-94.9693985	215	-6	A	America/Winnipeg	airport	OurAirports
129	Rivière-du-Loup Airport	Riviere Du Loup	Canada	YRI	CYRI	47.76440048	-69.58470154	427	-5	A	America/Toronto	airport	OurAirports
130	Roberval Airport	Roberval	Canada	YRJ	CYRJ	48.52000046	-72.26560211	586	-5	A	America/Toronto	airport	OurAirports
131	Rocky Mountain House Airport	Rocky Mountain House	Canada	YRM	CYRM	52.42969894	-114.9039993	3244	-7	A	America/Edmonton	airport	OurAirports
132	Rankin Inlet Airport	Rankin Inlet	Canada	YRT	CYRT	62.81140137	-92.11579895	94	-6	A	America/Winnipeg	airport	OurAirports
133	Sudbury Airport	Sudbury	Canada	YSB	CYSB	46.625	-80.79889679	1141	-5	A	America/Toronto	airport	OurAirports
134	Sherbrooke Airport	Sherbrooke	Canada	YSC	CYSC	45.43859863	-71.69139862	792	-5	A	America/Toronto	airport	OurAirports
135	Saint John Airport	St. John	Canada	YSJ	CYSJ	45.31610107	-65.89029694	357	-4	A	America/Halifax	airport	OurAirports
136	Fort Smith Airport	Fort Smith	Canada	YSM	CYSM	60.02030182	-111.961998	671	-7	A	America/Edmonton	airport	OurAirports
137	Nanisivik Airport	Nanisivik	Canada	YSR	CYSR	72.982201	-84.613602	2106	-5	A	America/Toronto	airport	OurAirports
138	Summerside Airport	Summerside	Canada	YSU	CYSU	46.44060135	-63.83359909	56	-4	A	America/Halifax	airport	OurAirports
139	Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport	Sachs Harbour	Canada	YSY	CYSY	71.99389648	-125.2429962	282	-7	A	America/Edmonton	airport	OurAirports
140	Cape Dorset Airport	Cape Dorset	Canada	YTE	CYTE	64.23000336	-76.52670288	164	-5	A	America/Toronto	airport	OurAirports
141	Thompson Airport	Thompson	Canada	YTH	CYTH	55.80110168	-97.86419678	729	-6	A	America/Winnipeg	airport	OurAirports
142	CFB Trenton	Trenton	Canada	YTR	CYTR	44.1189003	-77.52809906	283	-5	A	America/Toronto	airport	OurAirports
143	Timmins/Victor M. Power	Timmins	Canada	YTS	CYTS	48.56969833	-81.37670136	967	-5	A	America/Toronto	airport	OurAirports
144	Billy Bishop Toronto City Centre Airport	Toronto	Canada	YTZ	CYTZ	43.627499	-79.396202	252	-5	A	America/Toronto	airport	OurAirports
145	Tuktoyaktuk Airport	Tuktoyaktuk	Canada	YUB	CYUB	69.4332962	-133.026001	15	-7	A	America/Edmonton	airport	OurAirports
146	Montreal / Pierre Elliott Trudeau International Airport	Montreal	Canada	YUL	CYUL	45.47060013	-73.74079895	118	-5	A	America/Toronto	airport	OurAirports
147	Repulse Bay Airport	Repulse Bay	Canada	YUT	CYUT	66.52140045	-86.22470093	80	-6	A	America/Winnipeg	airport	OurAirports
148	Hall Beach Airport	Hall Beach	Canada	YUX	CYUX	68.77610016	-81.2425	30	-5	A	America/Toronto	airport	OurAirports
149	Rouyn Noranda Airport	Rouyn	Canada	YUY	CYUY	48.20610046	-78.83560181	988	-5	A	America/Toronto	airport	OurAirports
150	La Ronge Airport	La Ronge	Canada	YVC	CYVC	55.15140152	-105.262001	1242	-6	N	America/Regina	airport	OurAirports
151	Vermilion Airport	Vermillion	Canada	YVG	CYVG	53.35580063	-110.8239975	2025	-7	A	America/Edmonton	airport	OurAirports
152	Qikiqtarjuaq Airport	Broughton Island	Canada	YVM	CYVM	67.54579926	-64.03140259	21	-5	A	America/Toronto	airport	OurAirports
153	Val-d'Or Airport	Val D'or	Canada	YVO	CYVO	48.05329895	-77.78279877	1107	-5	A	America/Toronto	airport	OurAirports
154	Kuujjuaq Airport	Quujjuaq	Canada	YVP	CYVP	58.09609985	-68.42690277	129	-5	A	America/Toronto	airport	OurAirports
155	Norman Wells Airport	Norman Wells	Canada	YVQ	CYVQ	65.28160095	-126.7979965	238	-7	A	America/Edmonton	airport	OurAirports
156	Vancouver International Airport	Vancouver	Canada	YVR	CYVR	49.19390106	-123.1839981	14	-8	A	America/Vancouver	airport	OurAirports
157	Buffalo Narrows Airport	Buffalo Narrows	Canada	YVT	CYVT	55.84189987	-108.4179993	1423	-6	N	America/Regina	airport	OurAirports
158	Wiarton Airport	Wiarton	Canada	YVV	CYVV	44.7458	-81.107201	729	-5	A	America/Toronto	airport	OurAirports
159	Petawawa Airport	Petawawa	Canada	YWA	CYWA	45.95220184	-77.31919861	427	-5	A	America/Toronto	airport	OurAirports
160	Winnipeg / James Armstrong Richardson International Airport	Winnipeg	Canada	YWG	CYWG	49.90999985	-97.23989868	783	-6	A	America/Winnipeg	airport	OurAirports
161	Wabush Airport	Wabush	Canada	YWK	CYWK	52.9219017	-66.86440277	1808	-4	A	America/Halifax	airport	OurAirports
162	Williams Lake Airport	Williams Lake	Canada	YWL	CYWL	52.18310165	-122.0540009	3085	-8	A	America/Vancouver	airport	OurAirports
163	Wrigley Airport	Wrigley	Canada	YWY	CYWY	63.20940018	-123.4369965	489	-7	A	America/Edmonton	airport	OurAirports
164	Cranbrook/Canadian Rockies International Airport	Cranbrook	Canada	YXC	CYXC	49.6108017	-115.7819977	3082	-7	A	America/Edmonton	airport	OurAirports
165	Edmonton City Centre (Blatchford Field) Airport	Edmonton	Canada	YXD	CYXD	53.57249832	-113.5210037	2202	-7	A	America/Edmonton	airport	OurAirports
166	Saskatoon John G. Diefenbaker International Airport	Saskatoon	Canada	YXE	CYXE	52.17079926	-106.6999969	1653	-6	N	America/Regina	airport	OurAirports
167	Medicine Hat Airport	Medicine Hat	Canada	YXH	CYXH	50.01890182	-110.7210007	2352	-7	A	America/Edmonton	airport	OurAirports
168	Fort St John Airport	Fort Saint John	Canada	YXJ	CYXJ	56.23809814	-120.7399979	2280	-7	A	America/Dawson_Creek	airport	OurAirports
169	Sioux Lookout Airport	Sioux Lookout	Canada	YXL	CYXL	50.11389923	-91.90529633	1258	-6	A	America/Winnipeg	airport	OurAirports
170	Pangnirtung Airport	Pangnirtung	Canada	YXP	CYXP	66.14499664	-65.71360016	75	-5	A	America/Toronto	airport	OurAirports
171	Earlton (Timiskaming Regional) Airport	Earlton	Canada	YXR	CYXR	47.69740065	-79.84734535	800	-5	A	America/Toronto	airport	OurAirports
172	Prince George Airport	Prince George	Canada	YXS	CYXS	53.88940048	-122.6790009	2267	-8	A	America/Vancouver	airport	OurAirports
173	Northwest Regional Airport Terrace-Kitimat	Terrace	Canada	YXT	CYXT	54.468498	-128.576009	713	-8	A	America/Vancouver	airport	OurAirports
174	London Airport	London	Canada	YXU	CYXU	43.035599	-81.1539	912	-5	A	America/Toronto	airport	OurAirports
175	Abbotsford Airport	Abbotsford	Canada	YXX	CYXX	49.02529907	-122.3610001	195	-8	A	America/Vancouver	airport	OurAirports
176	Whitehorse / Erik Nielsen International Airport	Whitehorse	Canada	YXY	CYXY	60.70959854	-135.0670013	2317	-8	A	America/Vancouver	airport	OurAirports
177	North Bay Jack Garland Airport	North Bay	Canada	YYB	CYYB	46.363602	-79.422798	1215	-5	A	America/Toronto	airport	OurAirports
178	Calgary International Airport	Calgary	Canada	YYC	CYYC	51.11389923	-114.0199966	3557	-7	A	America/Edmonton	airport	OurAirports
179	Smithers Airport	Smithers	Canada	YYD	CYYD	54.8246994	-127.1829987	1712	-8	A	America/Vancouver	airport	OurAirports
180	Fort Nelson Airport	Fort Nelson	Canada	YYE	CYYE	58.83639908	-122.5970001	1253	-8	A	America/Vancouver	airport	OurAirports
181	Penticton Airport	Penticton	Canada	YYF	CYYF	49.46310043	-119.6019974	1129	-8	A	America/Vancouver	airport	OurAirports
182	Charlottetown Airport	Charlottetown	Canada	YYG	CYYG	46.29000092	-63.12110138	160	-4	A	America/Halifax	airport	OurAirports
183	Taloyoak Airport	Spence Bay	Canada	YYH	CYYH	69.54669952	-93.5766983	92	-7	A	America/Edmonton	airport	OurAirports
184	Victoria International Airport	Victoria	Canada	YYJ	CYYJ	48.64690018	-123.4260025	63	-8	A	America/Vancouver	airport	OurAirports
185	Lynn Lake Airport	Lynn Lake	Canada	YYL	CYYL	56.86389923	-101.0759964	1170	-6	A	America/Winnipeg	airport	OurAirports
186	Swift Current Airport	Swift Current	Canada	YYN	CYYN	50.29190063	-107.6910019	2680	-6	N	America/Regina	airport	OurAirports
187	Churchill Airport	Churchill	Canada	YYQ	CYYQ	58.73920059	-94.06500244	94	-6	A	America/Winnipeg	airport	OurAirports
188	Goose Bay Airport	Goose Bay	Canada	YYR	CYYR	53.31919861	-60.42580032	160	-4	A	America/Halifax	airport	OurAirports
189	St. John's International Airport	St. John's	Canada	YYT	CYYT	47.61859894	-52.75189972	461	-3.5	A	America/St_Johns	airport	OurAirports
190	Kapuskasing Airport	Kapuskasing	Canada	YYU	CYYU	49.41389847	-82.46749878	743	-5	A	America/Toronto	airport	OurAirports
191	Armstrong Airport	Armstrong	Canada	YYW	CYYW	50.29029846	-88.90969849	1058	-5	A	America/Toronto	airport	OurAirports
192	Mont Joli Airport	Mont Joli	Canada	YYY	CYYY	48.60860062	-68.20809937	172	-5	A	America/Toronto	airport	OurAirports
193	Lester B. Pearson International Airport	Toronto	Canada	YYZ	CYYZ	43.67720032	-79.63059998	569	-5	A	America/Toronto	airport	OurAirports
194	Downsview Airport	Toronto	Canada	YZD	CYZD	43.74250031	-79.46559906	652	-5	A	America/Toronto	airport	OurAirports
195	Gore Bay Manitoulin Airport	Gore Bay	Canada	YZE	CYZE	45.88529968	-82.56780243	635	-5	A	America/Toronto	airport	OurAirports
196	Yellowknife Airport	Yellowknife	Canada	YZF	CYZF	62.46279907	-114.4400024	675	-7	A	America/Edmonton	airport	OurAirports
197	Slave Lake Airport	Slave Lake	Canada	YZH	CYZH	55.29309845	-114.7770004	1912	-7	A	America/Edmonton	airport	OurAirports
198	Sandspit Airport	Sandspit	Canada	YZP	CYZP	53.25429916	-131.8139954	21	-8	A	America/Vancouver	airport	OurAirports
199	Chris Hadfield Airport	Sarnia	Canada	YZR	CYZR	42.99940109	-82.30889893	594	-5	A	America/Toronto	airport	OurAirports
